yane羽毛 嗯？封面gkd[doge]
硬核桓哥 八代是不是主角团投靠摩登了[doge]

未来之影骑 [热词系列_有生之年]

东启星 封面交粗来[doge]

惑星ぃ 我小时候就知道越打越科幻[喜极而泣]

kingsdaddy 我不知道合金弹头，但我知道合金蛋头[笑哭]

我永远单推船长噫hihihi 莉安娜从小就是我的女神，从小我就喜欢她[热词系列_爱了爱了]

寂寞游戏 一直以为合金弹头是打日本人[笑哭]

Seeヾ 最近首页疯狂给我推荐合金弹头，我自己也刚下了去玩，今天纯哥就发相关视频，这暗示了什么[doge]

我只是一只小沙雕 不得不说合金弹头系列是我心中最经典的游戏

星枪炮一师 有干货[OK]牙]

Ghostta 这……连火星之根究竟是什么都没讲清楚的屑纯哥

--无--- 哦~这糟糕的封面[妙啊]

小灰兔和小白兔 看完了，还在想那个和火星人玩儿的妹子，后面豆没听进去...

我是丶檸檬 只要你讲合金弹头我就[热词系列_三连]

滑稽助手 封面很受用，额不是，我是说艺术成就非常高，文化大餐

星空喵 我一个硬币可以打到下水道潜水艇BOSS然后就死...

GILbErpRT 合金弹头8真的是有生之年了

Mentha丶Haplocalyx 臭鱼烂虾警告

诗思哒哟 我记得小时候玩到的其中一个版本里可以变猴子

实力天道的帝皇侠 摩登并不是坏人

稗田阿一 那。。。。有没有火星人的[小电视_赞]

3000枫叶红红 https://u.nu/tzp3 封提取器↓要个赞不过分吧？

玄音海角 我想问问，有木乃伊那一代的剧情又是咋回事，我以前玩的时候完全不知道有剧情这回事[笑哭]

十羽斩咲夜 走，我们和火星人比划比划……什么？我不是合金弹头的成员？那没事了

GENJI理发店 我喜欢那个大光头，就哈哈哈哈哈哈哈哈哈哈哈，俺穆鑫哥

MC苏联库可夫将军 摩根军团的原型感觉真的是德三，德意志气息太浓烈了

尜is·a·girl 封面全图呢？

酒色红茶 我不想说的太失礼，不过 请给格斗家们准备 H机关枪。

白雨喽 这玩意感觉就是无脑冲冲冲送送送重开重开重开。。。

鹿小国 多灾多难的摩登

魔族天少 希望以后有更多这类硬核内容吧，赞和硬币根本保不住[OK]

天启Mk2 封面是合金弹头3最终关的后半段（确信）

男神喂你袋盐 还是二玩的多

爷六个号已冲塔 合金弹头让天美，凉凉不远了，详细去看魂斗罗

八方鬼夜切 那个火星人摧毁城市的报道的图片我第一眼看成了哑巴屯第三部里的娱乐（UFO）结局[笑哭][笑哭]

HIU-纳米柒 封面？？Σ(ﾟдﾟ;)

破军鸽 封面安利一下[滑稽]

风吹麦浪哈哈 玩三代就要选fio，不要问为什么，我不知道什么克隆[doge]

杨曰天i 6

润泽大怪兽 这个必须投币，我小时候最喜欢合金弹头

daguabi 这种一定要给三连！[点赞]

一叶梧桐一夜秋 我记得纯哥之前有一期讲合金弹头5的视频印象蛮深的，删减的关卡

中文说唱全记录 比划比划

谁的蓝颜 入侵人那一版在哪里下啊，找不到

喝雪碧上头 [妙啊]

吾尘世喧嚣 这个视频我记得前年就说要做了

一大黑耗子啊 [热词系列_三连]封面

纯白的原石 我以前买的盘子上面写的是越南大作战( ´_ゝ｀)

沉默至上 今天有点高产啊

泡芙の蛇-屑屑博 太棒了，解决了不少我关于合金弹头剧情的疑惑

66ZR66 蹲一手封面

真-超帅逼 火星人莫名可爱

星烁微光 触手控狂喜

xy小小杨 盲猜tx代理

海妖之星-伊娃 小时候:跳过剧场动画 我不知道这里发生了什么 但我知道我要大开杀戒了

小心身边 到底多喜欢触手

Bsd2b 封面GKD！

Dark丶fantasy 魂斗罗给TX做成手游都搞成什么样了，合金弹头也逃不过TX的魔爪吗[doge]

一叶梧桐一夜秋 我记得先是打的火星人。然后和火星人联手打金星人

qw三末qw 是封面让我们相遇[妙啊]

一叶梧桐一夜秋 封面选的好啊

日暮里的夜色很美 老不纯的视频质量至少能有200w粉啊[无语]

呦稚緣 Tx的参考魂斗罗[吃瓜]

白堕Loki 封面gkd

塔咩う 封面，三连[热词系列_三连]

是胖达啊啊啊 虽然我从小到大最喜欢合金弹头，但封面吸引力还是更大[doge]

G11_01 刚通关6

东方_丈助 还真就企鹅统一天下呗[热词系列_知识增加]

面包虫探员 代号j可还行

